公 10
工 10
共 7
功 7
攻 5
供 4
宫 4
贡 1
恭 1
弓 1
躬 1
拱 1
巩 1
龚 1
觥 1
肱 1
蚣 1
汞 1
珙 1
貢 1
魟 1
羾 1
龔 1
髸 1
鞏 1
輁 1
碽 1
